name,text,type,manaCost,convertedManaCost
Jedit's Dragoons,"Vigilance
When Jedit's Dragoons enters the battlefield, you gain 4 life.",Creature — Cat Soldier,{5}{W},6
Jeering Homunculus,"When Jeering Homunculus enters the battlefield, you may goad target creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)",Creature — Homunculus,{1}{U},2
Jeering Instigator,"Morph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Jeering Instigator is turned face up, if it's your turn, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.",Creature — Goblin Rogue,{1}{R},2
Jelenn Sphinx,"Flying, vigilance
Whenever Jelenn Sphinx attacks, other attacking creatures get +1/+1 until end of turn.",Creature — Sphinx,{3}{W}{U},5
"Jeleva, Nephalia's Scourge","Flying
When Jeleva, Nephalia's Scourge enters the battlefield, each player exiles the top X cards of their library, where X is the amount of mana spent to cast Jeleva.
Whenever Jeleva attacks, you may cast an instant or sorcery card exiled with it without paying its mana cost.",Legendary Creature — Vampire Wizard,{1}{U}{B}{R},4
"Jenara, Asura of War","Flying
{1}{W}: Put a +1/+1 counter on Jenara, Asura of War.",Legendary Creature — Angel,{G}{W}{U},3
Jerrard of the Closed Fist,,Legendary Creature — Human Knight,{3}{R}{G}{G},6
"Jeska, Warrior Adept","First strike, haste
{T}: Jeska, Warrior Adept deals 1 damage to any target.",Legendary Creature — Human Barbarian Warrior,{2}{R}{R},4
Jeskai Ascendancy,"Whenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn. Untap those creatures.
Whenever you cast a noncreature spell, you may draw a card. If you do, discard a card.",Enchantment,{U}{R}{W},3
Jeskai Banner,"{T}: Add {U}, {R}, or {W}.
{U}{R}{W}, {T}, Sacrifice Jeskai Banner: Draw a card.",Artifact,{3},3
Jeskai Barricade,"Flash (You may cast this spell any time you could cast an instant.)
Defender
When Jeskai Barricade enters the battlefield, you may return another target creature you control to its owner's hand.",Creature — Wall,{1}{W},2
Jeskai Charm,"Choose one —
• Put target creature on top of its owner's library.
• Jeskai Charm deals 4 damage to target opponent or planeswalker.
• Creatures you control get +1/+1 and gain lifelink until end of turn.",Instant,{U}{R}{W},3
Jeskai Elder,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever Jeskai Elder deals combat damage to a player, you may draw a card. If you do, discard a card.",Creature — Human Monk,{1}{U},2
Jeskai Infiltrator,"Jeskai Infiltrator can't be blocked as long as you control no other creatures.
When Jeskai Infiltrator deals combat damage to a player, exile it and the top card of your library in a face-down pile, shuffle that pile, then manifest those cards. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)",Creature — Human Monk,{2}{U},3
Jeskai Runemark,"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature has flying as long as you control a red or white permanent.",Enchantment — Aura,{2}{U},3
Jeskai Sage,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Jeskai Sage dies, draw a card.",Creature — Human Monk,{1}{U},2
Jeskai Student,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",Creature — Human Monk,{1}{W},2
Jeskai Windscout,"Flying
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",Creature — Bird Scout,{2}{U},3
Jester's Cap,"{2}, {T}, Sacrifice Jester's Cap: Search target player's library for three cards and exile them. Then that player shuffles their library.",Artifact,{4},4
Jester's Mask,"Jester's Mask enters the battlefield tapped.
{1}, {T}, Sacrifice Jester's Mask: Target opponent puts the cards from their hand on top of their library. Search that player's library for that many cards. That player puts those cards into their hand, then shuffles their library.",Artifact,{5},5
Jester's Scepter,"When Jester's Scepter enters the battlefield, exile the top five cards of target player's library face down. You may look at those cards for as long as they remain exiled.
{2}, {T}, Put a card exiled with Jester's Scepter into its owner's graveyard: Counter target spell if it has the same name as that card.",Artifact,{3},3
Jester's Sombrero,"{2}, {T}, Sacrifice Jester's Sombrero: Look at target player's sideboard, choose three cards from it, and remove those cards from the match.",Artifact,{2},2
Jet Medallion,Black spells you cast cost {1} less to cast.,Artifact,{2},2
Jetting Glasskite,"Flying
Whenever Jetting Glasskite becomes the target of a spell or ability for the first time each turn, counter that spell or ability.",Creature — Spirit,{4}{U}{U},6
Jeweled Amulet,"{1}, {T}: Put a charge counter on Jeweled Amulet. Note the type of mana spent to pay this activation cost. Activate this ability only if there are no charge counters on Jeweled Amulet.
{T}, Remove a charge counter from Jeweled Amulet: Add one mana of Jeweled Amulet's last noted type.",Artifact,{0},0
Jeweled Bird,"Remove Jeweled Bird from your deck before playing if you're not playing for ante.
{T}: Ante Jeweled Bird. If you do, put all other cards you own from the ante into your graveyard, then draw a card.",Artifact,{1},1
Jeweled Spirit,"Flying
Sacrifice two lands: Jeweled Spirit gains protection from artifacts or from the color of your choice until end of turn.",Creature — Spirit,{3}{W}{W},5
Jeweled Torque,"As Jeweled Torque enters the battlefield, choose a color.
Whenever a player casts a spell of the chosen color, you may pay {2}. If you do, you gain 2 life.",Artifact,{2},2
Jhessian Balmgiver,"{T}: Prevent the next 1 damage that would be dealt to any target this turn.
{T}: Target creature can't be blocked this turn.",Creature — Human Cleric,{1}{W}{U},3
Jhessian Infiltrator,Jhessian Infiltrator can't be blocked.,Creature — Human Rogue,{G}{U},2
Jhessian Lookout,,Creature — Human Scout,{1}{U},2
Jhessian Thief,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever Jhessian Thief deals combat damage to a player, draw a card.",Creature — Human Rogue,{2}{U},3
Jhessian Zombies,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Islandcycling {2}, swampcycling {2} ({2}, Discard this card: Search your library for an Island or Swamp card, reveal it, put it into your hand, then shuffle your library.)",Creature — Zombie,{4}{U}{B},6
Jhoira of the Ghitu,"{2}, Exile a nonland card from your hand: Put four time counters on the exiled card. If it doesn't have suspend, it gains suspend. (At the beginning of your upkeep, remove a time counter from that card. When the last is removed, cast it without paying its mana cost. If it's a creature, it has haste.)",Legendary Creature — Human Wizard,{1}{U}{R},3
Jhoira of the Ghitu Avatar,"{3}, Discard a card: Copy three instant cards chosen at random. You may cast one of the copies without paying its mana cost.
{3}, Discard a card: Copy three sorcery cards chosen at random. You may cast one of the copies without paying its mana cost. Activate this ability only any time you could cast a sorcery.",Vanguard,,0
Jhoira's Familiar,"Flying
Historic spells you cast cost {1} less to cast. (Artifacts, legendaries, and Sagas are historic.)",Artifact Creature — Bird,{4},4
Jhoira's Timebug,"{T}: Choose target permanent you control or suspended card you own. If that permanent or card has a time counter on it, you may remove a time counter from it or put another time counter on it.",Artifact Creature — Insect,{2},2
Jhoira's Toolbox,{2}: Regenerate target artifact creature.,Artifact Creature — Insect,{2},2
"Jhoira, Weatherlight Captain","Whenever you cast a historic spell, draw a card. (Artifacts, legendaries, and Sagas are historic.)",Legendary Creature — Human Artificer,{2}{U}{R},4
Jhovall Queen,Vigilance,Creature — Cat Rebel,{4}{W}{W},6
Jhovall Rider,Trample,Creature — Human Rebel,{4}{W},5
Jiang Yanggu,"[+1]: Target creature gets +2/+2 until end of turn.
[−1]: If you don't control a creature named Mowu, create Mowu, a legendary 3/3 green Hound creature token.
[−5]: Until end of turn, target creature gains trample and gets +X/+X, where X is the number of lands you control.",Legendary Planeswalker — Yanggu,{4}{G},5
"Jiang Yanggu, Wildcrafter","Each creature you control with a +1/+1 counter on it has ""{T}: Add one mana of any color.""
[−1]: Put a +1/+1 counter on target creature.",Legendary Planeswalker — Yanggu,{2}{G},3
Jihad,"As Jihad enters the battlefield, choose a color and an opponent.
White creatures get +2/+1 as long as the chosen player controls a nontoken permanent of the chosen color.
When the chosen player controls no nontoken permanents of the chosen color, sacrifice Jihad.",Enchantment,{W}{W}{W},3
Jilt,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
Return target creature to its owner's hand. If this spell was kicked, it deals 2 damage to another target creature.",Instant,{1}{U},2
"Jin-Gitaxias, Core Augur","Flash
At the beginning of your end step, draw seven cards.
Each opponent's maximum hand size is reduced by seven.",Legendary Creature — Praetor,{8}{U}{U},10
Jinx,"Target land becomes the basic land type of your choice until end of turn.
Draw a card at the beginning of the next turn's upkeep.",Instant,{1}{U},2
Jinxed Choker,"At the beginning of your end step, target opponent gains control of Jinxed Choker and puts a charge counter on it.
At the beginning of your upkeep, Jinxed Choker deals damage to you equal to the number of charge counters on it.
{3}: Put a charge counter on Jinxed Choker or remove one from it.",Artifact,{3},3
Jinxed Idol,"At the beginning of your upkeep, Jinxed Idol deals 2 damage to you.
Sacrifice a creature: Target opponent gains control of Jinxed Idol.",Artifact,{2},2
Jinxed Ring,"Whenever a nontoken permanent is put into your graveyard from the battlefield, Jinxed Ring deals 1 damage to you.
Sacrifice a creature: Target opponent gains control of Jinxed Ring. (This effect lasts indefinitely.)",Artifact,{2},2
"Jiwari, the Earth Aflame","{X}{R}, {T}: Jiwari, the Earth Aflame deals X damage to target creature without flying.
Channel — {X}{R}{R}{R}, Discard Jiwari: Jiwari deals X damage to each creature without flying.",Legendary Creature — Spirit,{3}{R}{R},5
Jodah's Avenger,"{0}: Until end of turn, Jodah's Avenger gets -1/-1 and gains your choice of double strike, protection from red, vigilance, or shadow. (A creature with shadow can block or be blocked by only creatures with shadow.)",Creature — Shapeshifter,{5}{U},6
"Jodah, Archmage Eternal","Flying
You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells that you cast.",Legendary Creature — Human Wizard,{1}{U}{R}{W},4
Johan,"At the beginning of combat on your turn, you may have Johan gain ""Johan can't attack"" until end of combat. If you do, attacking doesn't cause creatures you control to tap this combat if Johan is untapped.",Legendary Creature — Human Wizard,{3}{R}{G}{W},6
"Johnny, Combo Player","{4}: Search your library for a card, put that card into your hand, then shuffle your library.",Legendary Creature — Human Gamer,{2}{U}{U},4
Johtull Wurm,"Whenever Johtull Wurm becomes blocked, it gets -2/-1 until end of turn for each creature blocking it beyond the first.",Creature — Wurm,{5}{G},6
Join Shields,"Untap all creatures you control. They gain hexproof and indestructible until end of turn. (They can't be the targets of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy them.)",Instant,{3}{G}{W},5
Join the Ranks,Create two 1/1 white Soldier Ally creature tokens.,Instant,{3}{W},4
Joiner Adept,"Lands you control have ""{T}: Add one mana of any color.""",Creature — Elf Druid,{1}{G},2
Joint Assault,"Target creature gets +2/+2 until end of turn. If it's paired with a creature, that creature also gets +2/+2 until end of turn.",Instant,{G},1
Jokulhaups,"Destroy all artifacts, creatures, and lands. They can't be regenerated.",Sorcery,{4}{R}{R},6
Jokulmorder,"Trample
Jokulmorder enters the battlefield tapped.
When Jokulmorder enters the battlefield, sacrifice it unless you sacrifice five lands.
Jokulmorder doesn't untap during your untap step.
Whenever you play an Island, you may untap Jokulmorder.",Creature — Leviathan,{4}{U}{U}{U},7
